date,CD91
20000104,7.35
20000105,7.37
20000106,7.38
20000107,7.38
20000110,7.36
20000111,7.36
20000112,7.36
20000113,7.35
20000114,7.33
20000117,7.31
20000118,7.29
20000119,7.25
20000120,7.2
20000121,7.2
20000124,7.2
20000125,7.2
20000126,7.2
20000127,7.2
20000128,7.2
20000131,7.2
20000201,7.2
20000202,7.2
20000203,7.2
20000207,7.2
20000208,7.2
20000209,7.2
20000210,7.2
20000211,7.15
20000214,7.15
20000215,7.14
20000216,7.13
20000217,7.12
20000218,7.11
20000221,7.11
20000222,7.1
20000223,7.1
20000224,7.08
20000225,7.05
20000228,7.03
20000229,7.01
20000302,7.01
20000303,7.01
20000306,6.99
20000307,7
20000308,6.99
20000309,6.99
20000310,6.99
20000313,6.99
20000314,6.99
20000315,7
20000316,7
20000317,7
20000320,7
20000321,7
20000322,7
20000323,7
20000324,7
20000327,7
20000328,7
20000329,7
20000330,7
20000331,7.01
20000403,7
20000404,7
20000406,7
20000407,7
20000410,7.01
20000411,7
20000412,7.02
20000414,7.05
20000417,7.09
20000418,7.1
20000419,7.1
20000420,7.1
20000421,7.1
20000424,7.1
20000425,7.1
20000426,7.1
20000427,7.1
20000428,7.1
20000502,7.1
20000503,7.1
20000504,7.1
20000508,7.1
20000509,7.11
20000510,7.12
20000512,7.13
20000515,7.15
20000516,7.15
20000517,7.15
20000518,7.15
20000519,7.15
20000522,7.15
20000523,7.16
20000524,7.16
20000525,7.16
20000526,7.16
20000529,7.16
20000530,7.16
20000531,7.16
20000601,7.16
20000602,7.16
20000605,7.16
20000607,7.16
20000608,7.16
20000609,7.16
20000612,7.16
20000613,7.18
20000614,7.18
20000615,7.18
20000616,7.19
20000619,7.18
20000620,7.18
20000621,7.18
20000622,7.18
20000623,7.18
20000626,7.18
20000627,7.18
20000628,7.18
20000629,7.18
20000630,7.18
20000703,7.18
20000704,7.18
20000705,7.18
20000706,7.18
20000707,7.18
20000710,7.18
20000711,7.18
20000712,7.18
20000713,7.18
20000714,7.18
20000718,7.17
20000719,7.16
20000720,7.15
20000721,7.15
20000724,7.11
20000725,7.1
20000726,7.08
20000727,7.09
20000728,7.07
20000731,7.06
20000801,7.06
20000802,7.05
20000803,7.05
20000804,7.05
20000807,7.05
20000808,7.05
20000809,7.04
20000810,7.04
20000811,7.04
20000814,7.04
20000816,7.04
20000817,7.04
20000818,7.04
20000821,7.04
20000822,7.04
20000823,7.03
20000824,7.04
20000825,7.04
20000828,7.04
20000829,7.05
20000830,7.05
20000831,7.05
20000901,7.05
20000904,7.05
20000905,7.05
20000906,7.05
20000907,7.05
20000908,7.04
20000914,7.05
20000915,7.05
20000918,7.05
20000919,7.05
20000920,7.05
20000921,7.05
20000922,7.05
20000925,7.05
20000926,7.05
20000927,7.05
20000928,7.05
20000929,7.05
20001002,7.05
20001004,7.05
20001005,7.05
20001006,7.05
20001009,7.04
20001010,7.04
20001011,7.04
20001012,7.04
20001013,7.04
20001016,7.04
20001017,7.04
20001018,7.04
20001019,7.04
20001020,7.04
20001023,7.04
20001024,7.04
20001025,7.04
20001026,7.04
20001027,7.03
20001030,7.02
20001031,7.02
20001101,7.02
20001102,7.02
20001103,7.02
20001106,7.02
20001107,7.02
20001108,7.01
20001109,7
20001110,7
20001113,7
20001114,7
20001115,7
20001116,6.99
20001117,6.99
20001120,6.99
20001121,6.99
20001122,6.98
20001123,6.98
20001124,6.97
20001127,6.95
20001128,6.94
20001129,6.94
20001130,6.94
20001201,6.92
20001204,6.9
20001205,6.9
20001206,6.9
20001207,6.9
20001208,6.9
20001211,6.9
20001212,6.9
20001213,6.9
20001214,6.88
20001215,6.88
20001218,6.88
20001219,6.88
20001220,6.88
20001221,6.88
20001222,6.88
20001226,6.88
20010102,6.88
20010103,6.87
20010104,6.77
20010105,6.68
20010108,6.66
20010109,6.64
20010110,6.64
20010111,6.62
20010112,6.59
20010115,6.57
20010116,6.55
20010117,6.37
20010118,6.24
20010119,6.16
20010122,6.08
20010126,6.05
20010129,6.04
20010130,6
20010131,5.94
20010201,5.91
20010202,5.89
20010205,5.86
20010206,5.83
20010207,5.8
20010208,5.8
20010209,5.78
20010212,5.75
20010213,5.73
20010214,5.69
20010215,5.67
20010216,5.66
20010219,5.63
20010220,5.61
20010221,5.62
20010222,5.62
20010223,5.65
20010226,5.68
20010227,5.69
20010228,5.68
20010302,5.67
20010305,5.66
20010306,5.67
20010307,5.68
20010308,5.69
20010309,5.68
20010312,5.68
20010313,5.68
20010314,5.68
20010315,5.67
20010316,5.67
20010319,5.67
20010320,5.67
20010321,5.68
20010322,5.69
20010323,5.69
20010326,5.69
20010327,5.69
20010328,5.7
20010329,5.7
20010330,5.7
20010402,5.74
20010403,5.81
20010404,5.87
20010406,5.87
20010409,5.87
20010410,5.84
20010411,5.84
20010412,5.83
20010413,5.83
20010416,5.83
20010417,5.83
20010418,5.83
20010419,5.83
20010420,5.83
20010423,5.83
20010424,5.83
20010425,5.84
20010426,5.86
20010427,5.89
20010430,5.92
20010502,5.9
20010503,5.9
20010504,5.89
20010507,5.89
20010508,5.89
20010509,5.89
20010510,5.89
20010511,5.89
20010514,5.89
20010515,5.89
20010516,5.88
20010517,5.87
20010518,5.85
20010521,5.83
20010522,5.83
20010523,5.83
20010524,5.82
20010525,5.82
20010528,5.81
20010529,5.8
20010530,5.78
20010531,5.77
20010601,5.76
20010604,5.74
20010605,5.74
20010607,5.74
20010608,5.73
20010611,5.73
20010612,5.7
20010613,5.67
20010614,5.64
20010615,5.62
20010618,5.61
20010619,5.61
20010620,5.6
20010621,5.6
20010622,5.6
20010625,5.59
20010626,5.58
20010627,5.57
20010628,5.57
20010629,5.57
20010702,5.56
20010703,5.55
20010704,5.53
20010705,5.5
20010706,5.46
20010709,5.44
20010710,5.43
20010711,5.41
20010712,5.38
20010713,5.37
20010716,5.35
20010718,5.33
20010719,5.29
20010720,5.22
20010723,5.17
20010724,5.16
20010725,5.14
20010726,5.12
20010727,5.11
20010730,5.11
20010731,5.14
20010801,5.13
20010802,5.12
20010803,5.11
20010806,5.1
20010807,5.1
20010808,5.1
20010809,5
20010810,4.9
20010813,4.84
20010814,4.84
20010816,4.86
20010817,4.85
20010820,4.84
20010821,4.84
20010822,4.83
20010823,4.82
20010824,4.82
20010827,4.82
20010828,4.82
20010829,4.81
20010830,4.82
20010831,4.81
20010903,4.8
20010904,4.8
20010905,4.81
20010906,4.81
20010907,4.81
20010910,4.81
20010911,4.81
20010912,4.81
20010913,4.81
20010914,4.81
20010917,4.81
20010918,4.81
20010919,4.54
20010920,4.49
20010921,4.47
20010924,4.44
20010925,4.43
20010926,4.42
20010927,4.42
20010928,4.41
20011004,4.37
20011005,4.34
20011008,4.29
20011009,4.26
20011010,4.26
20011011,4.27
20011012,4.38
20011015,4.36
20011016,4.37
20011017,4.38
20011018,4.39
20011019,4.37
20011022,4.37
20011023,4.36
20011024,4.37
20011025,4.38
20011026,4.39
20011029,4.39
20011030,4.39
20011031,4.38
20011101,4.38
20011102,4.38
20011105,4.39
20011106,4.39
20011107,4.38
20011108,4.39
20011109,4.39
20011112,4.39
20011113,4.39
20011114,4.45
20011115,4.53
20011116,4.57
20011119,4.59
20011120,4.59
20011121,4.61
20011122,4.65
20011123,4.66
20011126,4.69
20011127,4.74
20011128,4.75
20011129,4.76
20011130,4.76
20011203,4.76
20011204,4.76
20011205,4.77
20011206,4.83
20011207,4.83
20011210,4.87
20011211,4.88
20011212,4.89
20011213,4.87
20011214,4.87
20011217,4.87
20011218,4.86
20011219,4.86
20011220,4.86
20011221,4.86
20011224,4.86
20011226,4.85
20011227,4.86
20011228,4.86
20020102,4.87
20020103,4.88
20020104,4.88
20020107,4.88
20020108,4.88
20020109,4.88
20020110,4.87
20020111,4.86
20020114,4.84
20020115,4.81
20020116,4.79
20020117,4.77
20020118,4.76
20020121,4.75
20020122,4.75
20020123,4.74
20020124,4.71
20020125,4.7
20020128,4.7
20020129,4.69
20020130,4.68
20020131,4.67
20020201,4.65
20020204,4.64
20020205,4.61
20020206,4.6
20020207,4.59
20020208,4.55
20020214,4.54
20020215,4.53
20020218,4.51
20020219,4.5
20020220,4.5
20020221,4.49
20020222,4.49
20020225,4.48
20020226,4.47
20020227,4.47
20020228,4.45
20020304,4.45
20020305,4.45
20020306,4.46
20020307,4.45
20020308,4.49
20020311,4.5
20020312,4.5
20020313,4.54
20020314,4.55
20020315,4.6
20020318,4.61
20020319,4.7
20020320,4.77
20020321,4.8
20020322,4.8
20020325,4.82
20020326,4.83
20020327,4.84
20020328,4.84
20020329,4.83
20020401,4.82
20020402,4.83
20020403,4.83
20020404,4.83
20020408,4.83
20020409,4.83
20020410,4.82
20020411,4.82
20020412,4.82
20020415,4.81
20020416,4.81
20020417,4.79
20020418,4.77
20020419,4.76
